transaction_id,item_id,order_timestamp,category,is_returned
1,bread,03/01/2024 7:11,Bakery,TRUE
1,chicken,03/01/2024 7:11,Meat & Seafood,FALSE
1,banana,03/01/2024 7:11,Fruits & Vegetables,FALSE
2,coke,31/01/2024 2:05,Beverages,FALSE
2,butter,31/01/2024 2:05,Dairy & Alternatives,FALSE
2,cheese,31/01/2024 2:05,Dairy & Alternatives,FALSE
2,banana,31/01/2024 2:05,Fruits & Vegetables,FALSE
2,chicken,31/01/2024 2:05,Meat & Seafood,FALSE
3,beef,26/01/2024 6:19,Meat & Seafood,FALSE
3,butter,26/01/2024 6:19,Dairy & Alternatives,FALSE
3,milk,26/01/2024 6:19,Dairy & Alternatives,FALSE
3,paper towels,26/01/2024 6:19,Household Supplies,FALSE
3,soap,26/01/2024 6:19,Personal Care,FALSE
4,shampoo,19/01/2024 5:26,Personal Care,FALSE
4,rice,19/01/2024 5:26,Pantry Staples,FALSE
5,yogurt,25/01/2024 21:52,Dairy & Alternatives,FALSE
5,bread,25/01/2024 21:52,Bakery,FALSE
5,milk,25/01/2024 21:52,Dairy & Alternatives,FALSE
6,bread,25/01/2024 8:16,Bakery,FALSE
7,cereal,19/01/2024 3:59,Breakfast & Grains,FALSE
7,pasta,19/01/2024 3:59,Pantry Staples,FALSE
8,shampoo,23/01/2024 7:59,Personal Care,FALSE
8,milk,23/01/2024 7:59,Dairy & Alternatives,FALSE
9,cereal,24/01/2024 18:39,Breakfast & Grains,FALSE
9,eggs,24/01/2024 18:39,Dairy & Alternatives,FALSE
9,rice,24/01/2024 18:39,Pantry Staples,FALSE
10,bread,04/01/2024 5:58,Bakery,FALSE
11,cereal,12/01/2024 3:12,Breakfast & Grains,FALSE
11,eggs,12/01/2024 3:12,Dairy & Alternatives,FALSE
11,detergent,12/01/2024 3:12,Household Supplies,FALSE
11,bread,12/01/2024 3:12,Bakery,FALSE
11,beef,12/01/2024 3:12,Meat & Seafood,FALSE
12,shampoo,09/01/2024 9:07,Personal Care,FALSE
12,eggs,09/01/2024 9:07,Dairy & Alternatives,TRUE
12,yogurt,09/01/2024 9:07,Dairy & Alternatives,FALSE
12,cereal,09/01/2024 9:07,Breakfast & Grains,FALSE
13,chicken,27/01/2024 14:45,Meat & Seafood,FALSE
13,beef,27/01/2024 14:45,Meat & Seafood,FALSE
13,yogurt,27/01/2024 14:45,Dairy & Alternatives,FALSE
14,beef,26/01/2024 15:35,Meat & Seafood,FALSE
15,cereal,07/01/2024 22:49,Breakfast & Grains,FALSE
15,chicken,07/01/2024 22:49,Meat & Seafood,FALSE
15,beef,07/01/2024 22:49,Meat & Seafood,FALSE
15,apple,07/01/2024 22:49,Fruits & Vegetables,FALSE
15,shampoo,07/01/2024 22:49,Personal Care,FALSE
16,detergent,01/01/2024 9:59,Household Supplies,FALSE
16,eggs,01/01/2024 9:59,Dairy & Alternatives,FALSE
16,butter,01/01/2024 9:59,Dairy & Alternatives,FALSE
17,coke,23/01/2024 11:04,Beverages,FALSE
17,apple,23/01/2024 11:04,Fruits & Vegetables,FALSE
17,bread,23/01/2024 11:04,Bakery,FALSE
18,yogurt,04/01/2024 22:00,Dairy & Alternatives,FALSE
19,rice,10/01/2024 5:37,Pantry Staples,FALSE
19,cereal,10/01/2024 5:37,Breakfast & Grains,FALSE
19,banana,10/01/2024 5:37,Fruits & Vegetables,FALSE
19,apple,10/01/2024 5:37,Fruits & Vegetables,FALSE
19,pasta,10/01/2024 5:37,Pantry Staples,FALSE
